5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
60111,6111,Rio Metro Regional Transit District,Inactive,Full Reporter,56,Albuquerque NM,MB,PT,0,0,0,0,0,0,0,0,0,2223,0,0,0,0,0,0,0,0,0,0,0
60025,6025,City of Alexandria,Active,Reduced Reporter,346,Alexandria LA,DR,DO,13919,14397,15333,14544,6492,12648,12953,13355,13005,13253,0,0,0,0,0,0,0,0,0,0,0
60025,6025,City of Alexandria,Active,Reduced Reporter,346,Alexandria LA,MB,DO,627377,550436,564069,564826,286798,703757,721983,777416,714922,656467,0,0,0,0,0,0,0,0,0,0,0
30010,3010,Lehigh and Northampton Transportation Authority,Active,Full Reporter,61,Allentown PA-NJ,DR,PT,490438,485564,482778,478215,494384,456765,338013,440354,435933,431700,420164,427369,414241,420507,442779,446976,371006,347033,167035,170259,106116
30010,3010,Lehigh and Northampton Transportation Authority,Active,Full Reporter,61,Allentown PA-NJ,MB,DO,4305607,4272188,4555890,4932680,5282545,4972842,4180084,5432467,5066051,5567851,4797241,5058668,5041068,4910329,4779100,4573599,4406952,4373097,2891706,2600736,1653226
30010,3010,Lehigh and Northampton Transportation Authority,Inactive,Full Reporter,61,Allentown PA-NJ,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944,5290,3480,955,0,0
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,DR,DO,684,556,418,599,688,746,592,555,446,325,238,315,285,372,199,274,316,223,99,59,18
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,DR,PT,0,7633,7748,8480,9160,10237,11807,11306,11661,11649,12179,12129,12722,13298,12720,12164,11787,9392,5284,5120,2406
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,MB,DO,496916,692488,661909,661609,694454,607695,586804,593547,712712,689116,687954,659876,609471,579580,576620,546149,544498,551741,349042,371102,214390
30011,3011,Altoona Metro Transit,Inactive,Full Reporter,359,Altoona PA,MB,PT,0,0,0,1822,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001,6001,City of Amarillo,Active,Reduced Reporter,182,Amarillo TX,DR,DO,21973,24275,27010,29172,28525,28754,29640,28145,30800,36306,40404,39634,33013,0,0,0,0,0,0,0,0
60001,6001,City of Amarillo,Active,Reduced Reporter,182,Amarillo TX,MB,DO,230654,336178,344104,360423,361460,366717,338386,332948,338316,373069,383079,374329,269168,0,0,0,0,0,0,0,0
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,DR,DO,0,968,0,0,0,0,10672,10558,8823,9587,10447,9506,11405,6037,0,0,0,0,0,0,0
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,DR,PT,0,14891,11542,10518,10881,11178,0,0,0,0,0,0,0,5673,10687,9327,8342,4454,0,0,0
70041,7041,Ames Transit Agency,Active,Full Reporter,445,Ames IA,MB,DO,0,4848494,4529451,4177180,4244428,4471336,4737992,5258530,5348981,5587101,5774124,6250952,6777675,6704537,6708382,6453494,6194467,5704328,2534349,2792048,1849922
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,MB,PT,0,0,0,0,0,0,0,15078,10961,11196,9450,8293,6253,4352,5398,128416,257563,121345,0,0,0
70066,7R01-011,Heart of Iowa Regional Transit Agency,Active,Full Reporter,445,Ames IA,DR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117845,86010,65453,34358
70066,7R01-011,Heart of Iowa Regional Transit Agency,Inactive,Full Reporter,445,Ames IA,DR,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70066,7R01-011,Heart of Iowa Regional Transit Agency,Inactive,Full Reporter,445,Ames IA,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00012,0012,Municipality of Anchorage,Active,Full Reporter,149,Anchorage AK,DR,PT,192884,196021,190875,183043,180193,178860,196404,194971,197845,199063,196448,184459,174663,158615,174245,172498,132917,131456,78142,89838,72236
00012,0012,Municipality of Anchorage,Active,Full Reporter,149,Anchorage AK,MB,DO,3110480,3339451,3536059,3975074,3929870,3988745,4220704,4165535,4145578,4148501,4088549,3986877,3896678,3649698,3450261,3190209,2941924,3251159,1710144,1953114,1358621
00012,0012,Municipality of Anchorage,Inactive,Full Reporter,149,Anchorage AK,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51398,285576,158949,0,0,0
00012,0012,Municipality of Anchorage,Active,Full Reporter,149,Anchorage AK,VP,PT,114117,83579,88075,88075,0,0,0,0,0,0,0,0,0,0,193227,201544,206330,208840,146075,150954,104251
00041,0041,Alaska Railroad Corporation,Active,Full Reporter,149,Anchorage AK,AR,DO,0,0,0,0,120361,129834,137230,113767,107550,115191,145260,156300,164674,178350,187309,192331,199666,203367,31960,166263,138105
00049,0049,"vRide, Inc. - Anchorage",Inactive,Full Reporter,149,Anchorage AK,VP,DO,0,0,0,0,0,146322,181180,205458,234816,260927,269555,256245,232826,220188,0,0,0,0,0,0,0
50041,5041,City of Anderson ,Active,Reduced Reporter,330,Anderson IN,DR,DO,0,0,0,0,29243,24918,27210,24856,26184,27563,24900,0,0,0,0,0,0,0,0,0,0
50041,5041,City of Anderson ,Active,Reduced Reporter,330,Anderson IN,MB,DO,0,0,0,0,159806,150117,155157,153963,149571,158358,179322,0,0,0,0,0,0,0,0,0,0
50040,5040,Ann Arbor Area Transportation Authority,Inactive,Full Reporter,125,Ann Arbor MI,CB,DO,0,0,0,0,0,0,0,0,0,0,37761,37554,39890,32231,28933,25952,26767,28546,6113,0,0
50040,5040,Ann Arbor Area Transportation Authority,Active,Full Reporter,125,Ann Arbor MI,CB,PT,0,0,0,0,0,0,0,0,0,0,38844,61355,77123,82706,84514,87532,92901,93694,20412,3645,16245
50040,5040,Ann Arbor Area Transportation Authority,Inactive,Full Reporter,125,Ann Arbor MI,DR,DO,21753,18828,15863,0,0,0,0,0,0,0,0,0,0,16387,8888,0,0,0,24996,39459,0
50040,5040,Ann Arbor Area Transportation Authority,Active,Full Reporter,125,Ann Arbor MI,DR,PT,215395,198144,157206,169482,159035,170354,182344,172692,160502,81715,85847,85853,96637,159177,207073,201181,171118,189246,65688,52746,58178
50040,5040,Ann Arbor Area Transportation Authority,Active,Full Reporter,125,Ann Arbor MI,DR,TX,0,0,0,0,0,0,0,0,0,118890,140114,154219,151081,71963,30208,28211,30288,24966,7617,12926,7239
50040,5040,Ann Arbor Area Transportation Authority,Active,Full Reporter,125,Ann Arbor MI,MB,DO,4156741,4050170,4440794,4930598,5395981,5547785,6049634,5979507,5735978,6053149,6416526,6405954,6375604,6261724,6378155,6617446,6612575,6308135,2238091,2202875,1832265
50040,5040,Ann Arbor Area Transportation Authority,Inactive,Full Reporter,125,Ann Arbor MI,MB,PT,0,0,0,0,0,0,7291,14360,12137,0,0,0,0,0,0,0,0,0,0,0,0
50040,5040,Ann Arbor Area Transportation Authority,Active,Full Reporter,125,Ann Arbor MI,VP,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54855,239711,252288,160211,142126,86340
50158,5158,University of Michigan Parking and Transportation Services,Active,Full Reporter,125,Ann Arbor MI,MB,DO,4365857,4560171,5029917,5499120,5756036,5805185,5904225,6095461,6341655,6938764,7351599,7305242,7304611,6988443,7060170,7568905,7585823,7379618,2533386,2713962,2115185
90162,9162,The Eastern Contra Costa Transit Authority,Active,Full Reporter,137,Antioch CA,DR,PT,80360,40089,102512,102532,106430,108047,120035,123750,128758,127696,127714,134440,133514,129640,132426,131176,121481,124205,93527,97784,70957
90162,9162,The Eastern Contra Costa Transit Authority,Active,Full Reporter,137,Antioch CA,DR,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17892,46592,27671,25613,17090
