table with row headers in column A and column headers in rows 3 through 4,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021",,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),
114,"Worcester, Massachusetts","206,601","206,242","205,918"
115,"Columbus, Georgia","206,922","206,960","205,617"
116,"Cape Coral, Florida","194,979","196,290","204,510"
117,"McKinney, Texas","195,057","197,122","202,690"
118,"Little Rock, Arkansas","202,514","202,484","201,998"
119,"Oxnard, California","202,185","202,242","201,879"
120,"Amarillo, Texas","200,904","200,897","201,234"
121,"Augusta, Georgia","202,123","201,850","201,196"
122,"Salt Lake, Utah","198,746","199,587","200,478"
123,"Montgomery, Alabama","200,567","200,006","198,665"
124,"Birmingham, Alabama","200,763","200,133","197,575"
125,"Grand Rapids, Michigan","198,487","198,173","197,416"
126,"Grand Prairie, Texas","196,272","196,331","197,347"
127,"Overland Park, Kansas","197,295","197,587","197,106"
128,"Tallahassee, Florida","196,068","196,342","197,102"
129,"Huntington Beach, California","199,140","198,707","196,652"
130,"Sioux Falls, South Dakota","192,683","193,233","196,528"
131,"Peoria, Arizona","191,052","191,985","194,917"
132,"Knoxville, Tennessee","190,011","190,594","192,648"
133,"Glendale, California","196,841","196,208","192,366"
134,"Vancouver, Washington","190,810","191,071","192,169"
135,"Providence, Rhode Island","190,284","190,101","189,692"
136,"Akron, Ohio","190,534","190,164","189,347"
137,"Brownsville, Texas","186,611","186,762","187,831"
138,"Mobile, Alabama","186,833","186,411","184,952"
139,"Newport News, Virginia","186,247","185,916","184,587"
140,"Tempe, Arizona","179,765","180,823","184,118"
141,"Shreveport, Louisiana","187,993","187,338","184,021"
142,"Chattanooga, Tennessee","181,234","181,624","182,113"
143,"Fort Lauderdale, Florida","182,817","182,789","181,668"
144,"Aurora, Illinois","180,688","180,355","179,266"
145,"Elk Grove, California","177,145","177,632","178,997"
146,"Ontario, California","175,518","175,945","177,963"
147,"Salem, Oregon","175,432","175,806","177,723"
148,"Cary, North Carolina","174,754","175,389","176,987"
149,"Santa Rosa, California","178,155","177,882","176,938"
150,"Rancho Cucamonga, California","174,628","174,572","175,142"
151,"Eugene, Oregon","174,753","174,802","175,096"
152,"Oceanside, California","174,352","174,128","172,982"
153,"Clarksville, Tennessee","166,634","167,258","170,957"
154,"Garden Grove, California","172,144","171,829","170,488"
155,"Lancaster, California","173,305","172,862","170,150"
156,"Springfield, Missouri","169,767","169,626","169,724"
157,"Pembroke Pines, Florida","171,163","170,981","169,391"
158,"Fort Collins, Colorado","168,972","169,032","168,538"
159,"Palmdale, California","169,913","169,279","165,761"
160,"Salinas, California","163,687","163,397","162,791"
161,"Hayward, California","163,635","163,269","159,827"
162,"Corona, California","157,265","157,570","159,743"
163,"Paterson, New Jersey","159,674","159,419","157,794"
164,"Murfreesboro, Tennessee","152,437","153,342","157,519"
165,"Macon, Georgia","157,346","157,104","156,762"
166,"Lakewood, Colorado","155,944","156,143","156,605"
167,"Killeen, Texas","152,570","153,044","156,261"
168,"Springfield, Massachusetts","155,913","155,556","154,789"
169,"Alexandria, Virginia","159,467","159,097","154,706"
170,"Kansas, Kansas","156,602","156,241","154,545"
171,"Sunnyvale, California","156,291","155,860","152,258"
172,"Hollywood, Florida","153,061","152,705","152,131"
173,"Roseville, California","147,817","148,435","151,901"
174,"Charleston, South Carolina","150,522","150,903","151,612"
175,"Escondido, California","151,271","151,260","150,665"
176,"Joliet, Illinois","150,352","150,199","150,372"
177,"Jackson, Mississippi","153,643","152,846","149,761"
178,"Bellevue, Washington","152,045","151,839","149,440"
179,"Surprise, Arizona","143,261","144,412","149,191"
