table with row headers in column A and column headers in rows 3 through 4,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021",,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),
514,"Dublin, California","72,142","72,312","71,674"
515,"St. Joseph, Missouri","72,456","72,293","71,602"
516,"Lake Elsinore, California","70,366","70,415","71,563"
517,"Tamarac, Florida","71,891","71,842","71,541"
518,"Eastvale, California","69,849","70,023","71,375"
519,"Johnson, Tennessee","70,588","70,576","71,278"
520,"Framingham, Massachusetts","72,342","72,162","71,265"
521,"Waukesha, Wisconsin","71,405","71,365","71,256"
522,"Dothan, Alabama","71,182","71,154","71,175"
523,"Marysville, Washington","70,683","70,894","71,144"
524,"Rogers, Arkansas","69,753","70,123","71,112"
525,"Blaine, Minnesota","70,293","70,505","70,935"
526,"Noblesville, Indiana","69,517","69,800","70,926"
527,"Camarillo, California","70,797","70,844","70,858"
528,"Lafayette, Indiana","70,906","70,809","70,835"
529,"St. Charles, Missouri","70,384","70,562","70,820"
530,"Wilmington, Delaware","70,941","70,875","70,750"
531,"Tulare, California","68,880","69,197","70,733"
532,"Maple Grove, Minnesota","70,509","70,518","70,726"
533,"Baldwin Park, California","72,323","72,082","70,629"
534,"Canton, Ohio","70,947","70,784","70,426"
535,"Ankeny, Iowa","67,892","68,316","70,287"
536,"North Richland Hills, Texas","69,968","70,310","70,209"
537,"West Des Moines, Iowa","68,717","68,895","69,792"
538,"Redondo Beach, California","71,520","71,261","69,781"
539,"Walnut Creek, California","70,078","69,974","69,695"
540,"Decatur, Illinois","70,765","70,514","69,646"
541,"Passaic, New Jersey","70,466","70,316","69,633"
542,"Yuba, California","70,101","69,952","69,536"
543,"Eau Claire, Wisconsin","69,291","69,313","69,441"
544,"Bayonne, New Jersey","71,555","71,546","69,211"
545,"Gaithersburg, Maryland","69,657","69,522","69,101"
546,"Albany, Georgia","69,832","69,486","69,048"
547,"East Orange, New Jersey","69,725","69,577","68,903"
548,"St. Cloud, Minnesota","68,774","68,711","68,818"
549,"Union, California","70,650","70,460","68,681"
550,"Eagan, Minnesota","68,905","68,766","68,642"
551,"San Marcos, Texas","67,290","67,701","68,580"
552,"Gary, Indiana","68,982","68,853","68,325"
553,"Portland, Maine","68,402","68,427","68,313"
554,"Jackson, Tennessee","68,211","68,169","68,114"
555,"Yorba Linda, California","68,460","68,431","67,989"
556,"Madera, California","66,316","66,523","67,944"
557,"Shawnee, Kansas","67,340","67,405","67,511"
558,"Haverhill, Massachusetts","67,764","67,690","67,361"
559,"Weston, Florida","68,094","67,928","67,312"
560,"Rockville, Maryland","67,101","67,357","67,139"
561,"Leander, Texas","59,345","60,965","67,124"
562,"Lodi, California","66,409","66,471","67,021"
563,"Schenectady, New York","67,000","66,879","66,990"
564,"Grand Junction, Colorado","65,733","65,822","66,964"
565,"Waterloo, Iowa","67,453","67,381","66,941"
566,"Idaho Falls, Idaho","65,413","65,657","66,898"
567,"Pflugerville, Texas","65,678","65,964","66,884"
568,"Davis, California","66,796","66,659","66,799"
569,"Palo Alto, California","68,724","68,486","66,680"
570,"Sammamish, Washington","67,600","67,534","66,630"
571,"Oshkosh, Wisconsin","66,777","66,693","66,607"
572,"Delray Beach, Florida","66,911","66,839","66,573"
573,"Novi, Michigan","66,252","66,186","66,560"
574,"Ames, Iowa","65,955","65,999","66,424"
575,"Skokie, Illinois","67,775","67,682","66,422"
576,"Queen Creek, Arizona","59,590","60,942","66,346"
577,"Palatine, Illinois","67,771","67,588","66,321"
578,"Alpharetta, Georgia","65,852","65,968","66,127"
579,"Janesville, Wisconsin","65,631","65,643","65,942"
580,"Union, New Jersey","68,512","68,087","65,638"
581,"Lynwood, California","67,139","66,897","65,505"
582,"Lorain, Ohio","65,340","65,324","65,430"
583,"Victoria, Texas","65,643","65,590","65,377"
584,"Kenner, Louisiana","66,474","66,323","65,364"
585,"Muncie, Indiana","65,382","65,241","65,292"
586,"Conway, Arkansas","63,656","63,783","65,121"
587,"Malden, Massachusetts","66,353","66,114","65,074"
588,"Cheyenne, Wyoming","65,096","65,161","65,051"
589,"Greenwood, Indiana","63,903","64,035","64,918"
590,"Brentwood, California","64,355","64,499","64,870"
591,"Utica, New York","65,263","65,102","64,501"
592,"Commerce, Colorado","62,477","62,793","64,287"
593,"South San Francisco, California","66,119","66,128","64,251"
594,"Laguna Niguel, California","64,519","64,359","64,239"
595,"North Little Rock, Arkansas","64,633","64,665","64,162"
596,"Millcreek, Utah","63,899","63,637","64,110"
597,"Ocala, Florida","63,455","63,600","64,096"
598,"Waltham, Massachusetts","64,994","64,817","64,015"
599,"Burnsville, Minnesota","64,352","64,530","63,943"
600,"San Clemente, California","64,409","64,346","63,896"
601,"Bellevue, Nebraska","64,208","64,301","63,737"
602,"Rowlett, Texas","62,543","62,743","63,671"
603,"Caldwell, Idaho","59,985","60,482","63,629"
604,"Port Orange, Florida","62,872","62,940","63,486"
605,"Moore, Oklahoma","63,308","63,503","63,462"
606,"Coon Rapids, Minnesota","63,660","63,590","63,385"
607,"Lakewood, Washington","63,666","63,619","63,331"
608,"Eden Prairie, Minnesota","64,375","64,335","63,161"
609,"Hamilton, Ohio","63,386","63,361","62,947"
610,"Apex, North Carolina","58,797","59,945","62,911"
611,"Bossier, Louisiana","62,722","62,653","62,865"
612,"Porterville, California","62,607","62,619","62,742"
613,"Maricopa, Arizona","58,442","59,133","62,720"
614,"La Habra, California","63,200","63,140","62,609"
615,"Taylor, Michigan","63,384","63,252","62,573"
616,"Dearborn Heights, Michigan","63,257","63,120","62,451"
617,"Council Bluffs, Iowa","62,701","62,625","62,415"
618,"Hendersonville, Tennessee","61,756","62,040","62,257"
619,"Springfield, Oregon","62,360","62,295","62,256"
620,"Medford, Massachusetts","59,662","60,425","62,098"
621,"St. Cloud, Florida","58,973","59,404","62,043"
622,"Santa Cruz, California","62,341","62,251","61,950"
623,"Richland, Washington","60,538","60,798","61,929"
624,"Huntersville, North Carolina","61,403","61,574","61,839"
625,"Encinitas, California","62,082","62,037","61,762"
626,"Marietta, Georgia","60,969","60,940","61,497"
627,"Wellington, Florida","61,854","61,779","61,448"
628,"Woodland, California","60,852","60,917","61,398"
629,"Montebello, California","62,771","62,527","61,204"
630,"Vineland, New Jersey","61,305","61,202","61,156"
631,"Chapel Hill, North Carolina","61,326","61,272","61,128"
632,"Pontiac, Michigan","61,572","61,390","60,984"
633,"Jupiter, Florida","61,100","61,048","60,802"
634,"San Rafael, California","61,287","61,154","60,769"
635,"Pico Rivera, California","62,215","61,995","60,764"
636,"La Mesa, California","61,191","61,111","60,721"
637,"Sanford, Florida","60,795","60,760","60,681"
638,"Bristol, Connecticut","60,783","60,665","60,661"
639,"Meriden, Connecticut","60,859","60,703","60,517"
640,"Euless, Texas","61,089","61,105","60,500"
641,"Great Falls, Montana","60,506","60,420","60,403"
642,"Parker, Colorado","58,477","58,800","60,313"
643,"Youngstown, Ohio","60,774","60,598","60,270"
644,"Owensboro, Kentucky","60,205","60,183","60,011"
645,"Corvallis, Oregon","59,696","59,697","59,864"
646,"Stonecrest, Georgia","59,148","59,181","59,863"
647,"Santee, California","60,075","60,057","59,703"
648,"Gardena, California","61,069","60,892","59,702"
649,"Kokomo, Indiana","59,609","59,606","59,691"
650,"Monterey Park, California","61,259","61,012","59,667"
651,"Taunton, Massachusetts","59,359","59,428","59,600"
652,"White Plains, New York","59,555","59,564","59,526"
653,"West Allis, Wisconsin","60,330","60,223","59,484"
654,"Des Plaines, Illinois","60,681","60,511","59,459"
655,"Palm Beach Gardens, Florida","59,218","59,253","59,449"
656,"Blue Springs, Missouri","58,648","58,774","59,430"
657,"Petaluma, California","59,713","59,678","59,403"
658,"Wylie, Texas","57,602","57,930","59,394"
659,"Taylorsville, Utah","60,552","60,449","59,242"
660,"North Miami, Florida","60,250","59,965","59,229"
661,"Dubuque, Iowa","59,639","59,565","59,119"
662,"Revere, Massachusetts","61,878","61,565","59,075"
663,"Carson, Nevada","58,639","58,677","58,993"
664,"Burlington, North Carolina","57,346","57,593","58,818"
665,"Grand Forks, North Dakota","59,022","58,942","58,781"
666,"Springfield, Ohio","58,940","58,801","58,763"
667,"Hempstead, New York","59,113","59,000","58,734"
668,"Hoboken, New Jersey","60,675","60,590","58,690"
669,"Casper, Wyoming","59,072","59,242","58,656"
670,"Cupertino, California","60,575","60,343","58,622"
671,"Terre Haute, Indiana","58,621","58,543","58,525"
672,"Hanford, California","57,932","58,006","58,496"
673,"Lenexa, Kansas","57,425","57,501","58,388"
674,"Madison, Alabama","57,124","57,389","58,357"
675,"Lake Havasu, Arizona","57,204","57,415","58,284"
676,"St. Clair Shores, Michigan","58,893","58,751","58,200"
677,"Herriman, Utah","55,312","56,321","58,198"
678,"Midwest, Oklahoma","58,459","58,466","58,145"
679,"St. Peters, Missouri","57,725","57,678","58,129"
680,"Gilroy, California","59,669","59,493","58,101"
681,"Margate, Florida","58,697","58,552","58,001"
682,"Royal Oak, Michigan","58,217","58,098","57,953"
683,"Shoreline, Washington","58,532","58,699","57,918"
684,"Orland Park, Illinois","58,648","58,501","57,850"
685,"Decatur, Alabama","57,851","57,777","57,804"
686,"Casa Grande, Arizona","53,891","54,335","57,699"
687,"Weymouth, Massachusetts","57,513","57,568","57,670"
688,"Bowie, Maryland","58,310","58,226","57,644"
689,"Lancaster, Pennsylvania","57,842","57,712","57,503"
690,"Kettering, Ohio","57,743","57,648","57,377"
691,"Bartlett, Tennessee","57,791","57,711","57,318"
692,"Highland, California","57,083","57,070","57,159"
693,"Coconut Creek, Florida","57,818","57,668","57,117"
694,"Pocatello, Idaho","56,238","56,282","57,092"
695,"Oak Lawn, Illinois","58,271","58,089","57,013"
696,"Albany, Oregon","56,412","56,599","56,828"
697,"Bentonville, Arkansas","54,120","54,675","56,734"
698,"Fountain Valley, California","57,175","57,054","56,495"
699,"Olympia, Washington","55,435","55,626","55,919"
700,"National, California","56,235","56,149","55,912"
701,"Bradenton, Florida","55,423","55,497","55,905"
702,"Coeur d'Alene, Idaho","54,515","54,770","55,904"
703,"Berwyn, Illinois","57,120","56,913","55,772"
704,"Tigard, Oregon","54,832","54,995","55,767"
705,"DeSoto, Texas","56,155","56,074","55,729"
706,"Port Arthur, Texas","55,610","55,550","55,724"
707,"New Brunswick, New Jersey","55,443","55,483","55,708"
708,"Smyrna, Georgia","55,689","55,635","55,685"
709,"Apple Valley, Minnesota","56,246","56,135","55,638"
710,"Kingsport, Tennessee","55,444","55,366","55,582"
711,"Valdosta, Georgia","55,485","55,468","55,567"
712,"Mount Prospect, Illinois","56,749","56,626","55,541"
713,"Smyrna, Tennessee","53,138","53,516","55,518"
714,"Apopka, Florida","54,897","54,874","55,496"
715,"Southaven, Mississippi","54,640","54,774","55,429"
716,"Brookhaven, Georgia","55,143","55,119","55,366"
717,"Arcadia, California","56,737","56,512","55,345"
718,"West Haven, Connecticut","55,560","55,455","55,294"
719,"Perth Amboy, New Jersey","55,414","55,389","55,291"
720,"San Jacinto, California","53,946","54,086","55,290"
721,"Beaumont, California","53,101","53,549","55,280"
722,"Chicopee, Massachusetts","55,576","55,481","55,190"
723,"Plainfield, New Jersey","54,609","54,418","54,936"
724,"Bonita Springs, Florida","53,820","54,006","54,904"
725,"Marana, Arizona","52,020","52,758","54,895"
726,"Tinley Park, Illinois","55,922","55,770","54,864"
727,"Anderson, Indiana","54,745","54,669","54,817"
728,"Sarasota, Florida","54,108","54,155","54,764"
729,"Manhattan, Kansas","54,507","54,544","54,763"
730,"Yucaipa, California","54,620","54,605","54,739"
731,"Bozeman, Montana","52,855","53,119","54,539"
732,"Lacey, Washington","53,442","53,828","54,461"
733,"Kannapolis, North Carolina","53,145","53,431","54,446"
734,"Logan, Utah","52,673","52,665","54,436"
735,"Colton, California","53,945","53,975","54,285"
736,"Texas, Texas","51,898","52,259","54,247"
737,"Kentwood, Michigan","54,375","54,305","54,141"
738,"Peabody, Massachusetts","54,486","54,410","54,119"
739,"Rocky Mount, North Carolina","54,351","54,248","53,957"
740,"Elkhart, Indiana","54,044","53,951","53,949"
741,"Diamond Bar, California","55,226","55,026","53,857"
742,"Pensacola, Florida","54,394","54,359","53,678"
743,"Huntington Park, California","55,005","54,806","53,644"
744,"West Sacramento, California","53,666","53,631","53,637"
745,"Normal, Illinois","53,585","53,575","53,594"
746,"Spring Hill, Tennessee","50,021","50,595","53,339"
747,"Edina, Minnesota","53,563","53,430","53,318"
748,"Minnetonka, Minnesota","53,962","54,241","53,266"
749,"Oak Park, Illinois","54,486","54,318","53,224"
750,"Galveston, Texas","53,585","53,520","53,219"
751,"Twin Falls, Idaho","51,593","51,816","53,213"
752,"Pinellas Park, Florida","53,116","53,359","53,202"
753,"Wheaton, Illinois","53,718","53,593","53,126"
754,"Elyria, Ohio","52,738","52,730","52,816"
755,"Methuen, Massachusetts","53,026","52,999","52,798"
756,"Winter Haven, Florida","50,247","50,603","52,710"
757,"Novato, California","53,130","53,006","52,708"
758,"Paramount, California","53,828","53,631","52,506"
759,"Battle Creek, Michigan","52,631","52,541","52,335"
759,"Grand Island, Nebraska","53,083","52,944","52,335"
761,"West New York, New Jersey","52,798","52,493","52,242"
762,"Cathedral, California","51,535","51,577","52,220"
763,"La Crosse, Wisconsin","52,690","52,647","52,185"
764,"Delano, California","51,845","51,864","52,173"
765,"Watsonville, California","52,739","52,623","52,067"
766,"Florissant, Missouri","52,548","52,445","52,003"
767,"Joplin, Missouri","51,719","51,703","51,846"
768,"Aliso Viejo, California","52,174","52,173","51,824"
769,"Kyle, Texas","45,752","46,464","51,789"
770,"Draper, Utah","50,510","50,481","51,749"
771,"Burleson, Texas","47,807","48,132","51,618"
772,"Mooresville, North Carolina","50,205","50,452","51,594"
773,"Glendora, California","52,610","52,505","51,569"
774,"Palm Desert, California","51,163","51,167","51,541"
775,"Harrisonburg, Virginia","51,814","51,675","51,430"
776,"Hoffman Estates, Illinois","52,460","52,333","51,350"
777,"Collierville, Tennessee","51,198","51,247","51,343"
778,"Placentia, California","51,911","51,789","51,274"
779,"Summerville, South Carolina","50,933","51,010","51,216"
780,"Mishawaka, Indiana","51,201","51,126","51,074"
781,"Burien, Washington","52,121","52,004","51,073"
782,"Little Elm, Texas","46,361","47,078","51,042"
783,"Middletown, Ohio","51,033","51,026","50,998"
784,"Dunwoody, Georgia","51,629","51,539","50,901"
785,"Grapevine, Texas","50,651","50,756","50,872"
786,"Cuyahoga Falls, Ohio","51,109","51,014","50,810"
787,"Lincoln, California","49,808","49,855","50,649"
788,"Westfield, Indiana","46,427","46,990","50,630"
789,"Columbus, Indiana","50,423","50,391","50,569"
790,"Enid, Oklahoma","51,327","51,149","50,566"
791,"Milford, Connecticut","50,587","50,532","50,541"
792,"Covina, California","51,373","51,246","50,411"
793,"Troy, New York","50,760","50,684","50,394"
794,"Newark, Ohio","49,913","49,952","50,383"
795,"Jeffersonville, Indiana","49,413","49,494","50,315"
796,"Rosemead, California","51,268","51,138","50,245"
797,"Harrisburg, Pennsylvania","50,090","50,069","50,135"
798,"Lakewood, Ohio","50,848","50,693","50,104"
799,"Sheboygan, Wisconsin","50,017","49,945","49,931"
800,"Cypress, California","50,269","50,266","49,926"
801,"Murray, Utah","50,743","50,589","49,729"
802,"Chesterfield, Missouri","50,014","49,956","49,703"
803,"Downers Grove, Illinois","50,230","50,126","49,654"
804,"St. Louis Park, Minnesota","50,016","50,020","49,158"
"Note: Areas are included in this table if they exceed the stated threshold at any point in the time series. The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to geographic program revisions and the application of disclosure avoidance to protect confidentiality (DRB clearance number CBDRB-FY22-054). For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the Vintage 2021 subcounty population estimates series are as of January 1, 2021. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html.  Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,
Suggested Citation:,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021 (SUB-IP-EST2021-ANNRNK)",,,,
"Source: U.S. Census Bureau, Population Division",,,,
Release Date: May 2022,,,,
